# Program:featureCounts v1.6.2; Command:"featureCounts" "-t" "exon" "-O" "-f" "--primary" "-a" "./databases/sacCer3.gtf" "-o" "/athena/elementolab/scratch/toy2005/angsd/hw6/counts_overlap_primary/SNF2_5_Aligned_counts.txt" "./databases/alignment/SNF2_5_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./databases/alignment/SNF2_5_Aligned.sortedByCoord.out.bam
YAL012W	chrI	130799	131983	+	1185	5945
YAL069W	chrI	335	649	+	315	0
YAL068W-A	chrI	538	792	+	255	0
YAL068C	chrI	1807	2169	-	363	0
YAL067W-A	chrI	2480	2707	+	228	0
YAL067C	chrI	7235	9016	-	1782	53
YAL066W	chrI	10091	10399	+	309	0
YAL065C	chrI	11565	11951	-	387	1
YAL064W-B	chrI	12046	12426	+	381	6
YAL064C-A	chrI	13363	13743	-	381	40
YAL064W	chrI	21566	21850	+	285	12
YAL063C-A	chrI	22395	22685	-	291	6
YAL063C	chrI	24000	27968	-	3969	156
YAL062W	chrI	31567	32940	+	1374	517
YAL061W	chrI	33448	34701	+	1254	557
YAL060W	chrI	35155	36303	+	1149	1339
YAL059C-A	chrI	36496	36918	-	423	65
YAL059W	chrI	36509	37147	+	639	127
YAL058W	chrI	37464	38972	+	1509	339
YAL056C-A	chrI	38696	39046	-	351	126
YAL056W	chrI	39259	41901	+	2643	1277
YAL055W	chrI	42177	42719	+	543	429
YAL054C	chrI	42881	45022	-	2142	390
YAL053W	chrI	45899	48250	+	2352	3818
YAL051W	chrI	48564	51707	+	3144	429
YAL049C	chrI	51855	52595	-	741	830
YAL048C	chrI	52801	54789	-	1989	115
YAL047W-A	chrI	54584	54913	+	330	13
YAL047C	chrI	54989	56857	-	1869	186
YAL046C	chrI	57029	57385	-	357	325
YAL045C	chrI	57488	57796	-	309	428
YAL044W-A	chrI	57518	57850	+	333	490
YAL044C	chrI	57950	58462	-	513	839
YAL043C	chrI	58695	61052	-	2358	872
YAL042C-A	chrI	61231	61608	-	378	1141
YAL042W	chrI	61316	62563	+	1248	4672
YAL041W	chrI	62840	65404	+	2565	618
YAL040C	chrI	65778	67520	-	1743	676
YAL039C	chrI	68716	69525	-	810	1879
YAL038W	chrI	71786	73288	+	1503	49658
YAL037C-B	chrI	72326	73300	-	975	39306
YAL037C-A	chrI	73426	73518	-	93	8
YAL037W	chrI	74020	74823	+	804	85
YAL036C	chrI	75043	76152	-	1110	292
YAL035W	chrI	76427	79435	+	3009	2988
YAL034C-B	chrI	79489	79842	-	354	47
YAL034W-A	chrI	79718	80587	+	870	169
YAL034C	chrI	80710	81951	-	1242	532
YAL033W	chrI	82706	83227	+	522	217
YAL032C	chrI	83335	84474	-	1140	585
YAL031W-A	chrI	84669	84977	+	309	192
YAL031C	chrI	84749	87031	-	2283	657
YAL030W	chrI	87286	87387	+	102	245
YAL030W	chrI	87501	87752	+	252	756
YAL029C	chrI	87855	92270	-	4416	1046
YAL028W	chrI	92900	94486	+	1587	406
YAL027W	chrI	94687	95472	+	786	239
YAL026C-A	chrI	95386	95823	-	438	279
YAL026C	chrI	95630	99697	-	4068	939
YAL025C	chrI	100225	101145	-	921	310
YAL024C	chrI	101565	105872	-	4308	264
YAL023C	chrI	106272	108551	-	2280	3329
YAL022C	chrI	108877	110430	-	1554	1049
YAL021C	chrI	110846	113359	-	2514	981
YAL020C	chrI	113614	114615	-	1002	868
YAL019W-A	chrI	114250	114819	+	570	405
YAL019W	chrI	114919	118314	+	3396	390
YAL018C	chrI	118564	119541	-	978	4
YAL017W	chrI	120225	124295	+	4071	1025
YAL016C-B	chrI	124307	124492	-	186	115
YAL016C-A	chrI	124755	125069	-	315	124
YAL016W	chrI	124879	126786	+	1908	1679
