# Program:featureCounts v1.6.2; Command:"featureCounts" "-t" "exon" "-O" "-f" "-a" "./databases/sacCer3.gtf" "-o" "/athena/elementolab/scratch/toy2005/angsd/hw6/counts_overlap/WT_3_Aligned_counts.txt" "./databases/alignment/WT_3_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./databases/alignment/WT_3_Aligned.sortedByCoord.out.bam
YAL012W	chrI	130799	131983	+	1185	3040
YAL069W	chrI	335	649	+	315	0
YAL068W-A	chrI	538	792	+	255	0
YAL068C	chrI	1807	2169	-	363	0
YAL067W-A	chrI	2480	2707	+	228	0
YAL067C	chrI	7235	9016	-	1782	21
YAL066W	chrI	10091	10399	+	309	0
YAL065C	chrI	11565	11951	-	387	2
YAL064W-B	chrI	12046	12426	+	381	4
YAL064C-A	chrI	13363	13743	-	381	31
YAL064W	chrI	21566	21850	+	285	4
YAL063C-A	chrI	22395	22685	-	291	6
YAL063C	chrI	24000	27968	-	3969	92
YAL062W	chrI	31567	32940	+	1374	377
YAL061W	chrI	33448	34701	+	1254	1503
YAL060W	chrI	35155	36303	+	1149	1361
YAL059C-A	chrI	36496	36918	-	423	122
YAL059W	chrI	36509	37147	+	639	225
YAL058W	chrI	37464	38972	+	1509	269
YAL056C-A	chrI	38696	39046	-	351	81
YAL056W	chrI	39259	41901	+	2643	831
YAL055W	chrI	42177	42719	+	543	260
YAL054C	chrI	42881	45022	-	2142	248
YAL053W	chrI	45899	48250	+	2352	2408
YAL051W	chrI	48564	51707	+	3144	365
YAL049C	chrI	51855	52595	-	741	475
YAL048C	chrI	52801	54789	-	1989	118
YAL047W-A	chrI	54584	54913	+	330	17
YAL047C	chrI	54989	56857	-	1869	146
YAL046C	chrI	57029	57385	-	357	196
YAL045C	chrI	57488	57796	-	309	230
YAL044W-A	chrI	57518	57850	+	333	265
YAL044C	chrI	57950	58462	-	513	1032
YAL043C	chrI	58695	61052	-	2358	581
YAL042C-A	chrI	61231	61608	-	378	795
YAL042W	chrI	61316	62563	+	1248	3132
YAL041W	chrI	62840	65404	+	2565	428
YAL040C	chrI	65778	67520	-	1743	452
YAL039C	chrI	68716	69525	-	810	1332
YAL038W	chrI	71786	73288	+	1503	63458
YAL037C-B	chrI	72326	73300	-	975	48826
YAL037C-A	chrI	73426	73518	-	93	41
YAL037W	chrI	74020	74823	+	804	33
YAL036C	chrI	75043	76152	-	1110	351
YAL035W	chrI	76427	79435	+	3009	3010
YAL034C-B	chrI	79489	79842	-	354	54
YAL034W-A	chrI	79718	80587	+	870	127
YAL034C	chrI	80710	81951	-	1242	445
YAL033W	chrI	82706	83227	+	522	236
YAL032C	chrI	83335	84474	-	1140	371
YAL031W-A	chrI	84669	84977	+	309	114
YAL031C	chrI	84749	87031	-	2283	513
YAL030W	chrI	87286	87387	+	102	168
YAL030W	chrI	87501	87752	+	252	440
YAL029C	chrI	87855	92270	-	4416	901
YAL028W	chrI	92900	94486	+	1587	309
YAL027W	chrI	94687	95472	+	786	246
YAL026C-A	chrI	95386	95823	-	438	226
YAL026C	chrI	95630	99697	-	4068	773
YAL025C	chrI	100225	101145	-	921	530
YAL024C	chrI	101565	105872	-	4308	173
YAL023C	chrI	106272	108551	-	2280	2332
YAL022C	chrI	108877	110430	-	1554	616
YAL021C	chrI	110846	113359	-	2514	860
YAL020C	chrI	113614	114615	-	1002	550
YAL019W-A	chrI	114250	114819	+	570	271
YAL019W	chrI	114919	118314	+	3396	391
YAL018C	chrI	118564	119541	-	978	2
YAL017W	chrI	120225	124295	+	4071	917
YAL016C-B	chrI	124307	124492	-	186	68
YAL016C-A	chrI	124755	125069	-	315	139
YAL016W	chrI	124879	126786	+	1908	1446
YAL015C	chrI	126903	128102	-	1200	295
YAL014C	chrI	128252	129019	-	768	726
YAL013W	chrI	129270	130487	+	1218	730
YAL011W	chrI	132199	134076	+	1878	294
YAL010C	chrI	134184	135665	-	1482	287
YAL009W	chrI	135854	136633	+	780	239
YAL008W	chrI	136914	137510	+	597	350
YAL007C	chrI	137698	138345	-	648	791
YAL005C	chrI	139503	141431	-	1929	5994
YAL004W	chrI	140760	141407	+	648	873
YAL003W	chrI	142174	142253	+	80	861
YAL003W	chrI	142620	143160	+	541	6989
YAL002W	chrI	143707	147531	+	3825	442
YAL001C	chrI	147594	151006	-	3413	382
YAL001C	chrI	151097	151166	-	70	5
YAR002W	chrI	152257	153876	+	1620	591
YAR002C-A	chrI	154065	154724	-	660	1240
YAR003W	chrI	155005	156285	+	1281	373
YAR007C	chrI	156754	158619	-	1866	542
YAR008W	chrI	158966	159793	+	828	164
YAR009C	chrI	160597	164187	-	3591	39
YAR010C	chrI	164544	165866	-	1323	0
YAR014C	chrI	166742	168871	-	2130	635
YAR015W	chrI	169375	170295	+	921	1671
YAR018C	chrI	170396	171703	-	1308	235
YAR019C	chrI	172211	175135	-	2925	235
YAR019W-A	chrI	174998	175330	+	333	8
YAR020C	chrI	176856	177023	-	168	36
YAR023C	chrI	179281	179820	-	540	86
YAR027W	chrI	183770	184477	+	708	671
YAR028W	chrI	184892	185596	+	705	204
YAR029W	chrI	186321	186545	+	225	28
YAR030C	chrI	186512	186853	-	342	32
YAR031W	chrI	186836	187732	+	897	77
YAR033W	chrI	188107	188811	+	705	77
YAR035W	chrI	190193	192256	+	2064	147
YAR035C-A	chrI	192337	192417	-	81	2
YAR042W	chrI	192619	196185	+	3567	869
YAR047C	chrI	201467	201787	-	321	11
YAR050W	chrI	203403	208016	+	4614	92
YAR053W	chrI	208367	208663	+	297	2
YAR060C	chrI	217157	217492	-	336	0
YAR064W	chrI	220198	220497	+	300	5
YAR066W	chrI	221049	221660	+	612	1
YAR068W	chrI	222406	222891	+	486	0
YAR069C	chrI	224011	224304	-	294	0
YAR070C	chrI	224563	224862	-	300	0
YAR071W	chrI	225460	226863	+	1404	100
YAR073W	chrI	227742	228953	+	1212	10
YAR075W	chrI	228844	229317	+	474	12
Q0010	chrM	3952	4338	+	387	0
Q0017	chrM	4254	4415	+	162	0
Q0032	chrM	11667	11957	+	291	0
Q0045	chrM	13818	13986	+	169	0
Q0045	chrM	16435	16470	+	36	0
Q0045	chrM	18954	18991	+	38	0
Q0045	chrM	20508	20984	+	477	1
Q0045	chrM	21995	22246	+	252	2
Q0045	chrM	23612	23746	+	135	0
Q0045	chrM	25318	25342	+	25	0
Q0045	chrM	26229	26701	+	473	1
Q0070	chrM	13818	13986	+	169	0
Q0070	chrM	16435	16470	+	36	0
Q0070	chrM	18954	18991	+	38	0
Q0070	chrM	20508	20984	+	477	1
Q0070	chrM	21995	23167	+	1173	2
Q0065	chrM	13818	13986	+	169	0
Q0065	chrM	16435	16470	+	36	0
Q0065	chrM	18954	18991	+	38	0
Q0065	chrM	20508	21935	+	1428	1
Q0060	chrM	13818	13986	+	169	0
Q0060	chrM	16435	16470	+	36	0
Q0060	chrM	18954	19996	+	1043	1
Q0055	chrM	13818	13986	+	169	0
Q0055	chrM	16435	18830	+	2396	4
