# Program:featureCounts v1.6.2; Command:"featureCounts" "-t" "exon" "-O" "-f" "--primary" "-a" "./databases/sacCer3.gtf" "-o" "/athena/elementolab/scratch/toy2005/angsd/hw6/counts_overlap_primary/WT_1_Aligned_counts.txt" "./databases/alignment/WT_1_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./databases/alignment/WT_1_Aligned.sortedByCoord.out.bam
YAL012W	chrI	130799	131983	+	1185	4312
YAL069W	chrI	335	649	+	315	0
YAL068W-A	chrI	538	792	+	255	0
YAL068C	chrI	1807	2169	-	363	0
YAL067W-A	chrI	2480	2707	+	228	0
YAL067C	chrI	7235	9016	-	1782	12
YAL066W	chrI	10091	10399	+	309	0
YAL065C	chrI	11565	11951	-	387	10
YAL064W-B	chrI	12046	12426	+	381	9
YAL064C-A	chrI	13363	13743	-	381	33
YAL064W	chrI	21566	21850	+	285	1
YAL063C-A	chrI	22395	22685	-	291	1
YAL063C	chrI	24000	27968	-	3969	114
YAL062W	chrI	31567	32940	+	1374	396
YAL061W	chrI	33448	34701	+	1254	2140
YAL060W	chrI	35155	36303	+	1149	1418
YAL059C-A	chrI	36496	36918	-	423	52
YAL059W	chrI	36509	37147	+	639	93
YAL058W	chrI	37464	38972	+	1509	294
YAL056C-A	chrI	38696	39046	-	351	72
YAL056W	chrI	39259	41901	+	2643	707
YAL055W	chrI	42177	42719	+	543	285
YAL054C	chrI	42881	45022	-	2142	199
YAL053W	chrI	45899	48250	+	2352	2513
YAL051W	chrI	48564	51707	+	3144	256
YAL049C	chrI	51855	52595	-	741	463
YAL048C	chrI	52801	54789	-	1989	143
YAL047W-A	chrI	54584	54913	+	330	9
YAL047C	chrI	54989	56857	-	1869	108
YAL046C	chrI	57029	57385	-	357	211
YAL045C	chrI	57488	57796	-	309	184
YAL044W-A	chrI	57518	57850	+	333	216
YAL044C	chrI	57950	58462	-	513	1506
YAL043C	chrI	58695	61052	-	2358	603
YAL042C-A	chrI	61231	61608	-	378	1331
YAL042W	chrI	61316	62563	+	1248	4014
YAL041W	chrI	62840	65404	+	2565	415
YAL040C	chrI	65778	67520	-	1743	377
YAL039C	chrI	68716	69525	-	810	1562
YAL038W	chrI	71786	73288	+	1503	82908
YAL037C-B	chrI	72326	73300	-	975	61624
YAL037C-A	chrI	73426	73518	-	93	0
YAL037W	chrI	74020	74823	+	804	22
YAL036C	chrI	75043	76152	-	1110	335
YAL035W	chrI	76427	79435	+	3009	2852
YAL034C-B	chrI	79489	79842	-	354	33
YAL034W-A	chrI	79718	80587	+	870	91
YAL034C	chrI	80710	81951	-	1242	359
YAL033W	chrI	82706	83227	+	522	158
YAL032C	chrI	83335	84474	-	1140	378
YAL031W-A	chrI	84669	84977	+	309	72
YAL031C	chrI	84749	87031	-	2283	350
YAL030W	chrI	87286	87387	+	102	130
YAL030W	chrI	87501	87752	+	252	380
YAL029C	chrI	87855	92270	-	4416	669
YAL028W	chrI	92900	94486	+	1587	344
YAL027W	chrI	94687	95472	+	786	162
YAL026C-A	chrI	95386	95823	-	438	122
YAL026C	chrI	95630	99697	-	4068	649
YAL025C	chrI	100225	101145	-	921	377
YAL024C	chrI	101565	105872	-	4308	122
YAL023C	chrI	106272	108551	-	2280	2621
YAL022C	chrI	108877	110430	-	1554	802
YAL021C	chrI	110846	113359	-	2514	814
YAL020C	chrI	113614	114615	-	1002	696
YAL019W-A	chrI	114250	114819	+	570	375
YAL019W	chrI	114919	118314	+	3396	374
YAL018C	chrI	118564	119541	-	978	0
YAL017W	chrI	120225	124295	+	4071	888
YAL016C-B	chrI	124307	124492	-	186	50
