# Program:featureCounts v1.6.2; Command:"featureCounts" "-t" "exon" "-O" "-f" "-a" "./databases/sacCer3.gtf" "-o" "/athena/elementolab/scratch/toy2005/angsd/hw6/counts_overlap/SNF2_1_Aligned_counts.txt" "./databases/alignment/SNF2_1_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./databases/alignment/SNF2_1_Aligned.sortedByCoord.out.bam
YAL012W	chrI	130799	131983	+	1185	7351
YAL069W	chrI	335	649	+	315	0
YAL068W-A	chrI	538	792	+	255	0
YAL068C	chrI	1807	2169	-	363	2
YAL067W-A	chrI	2480	2707	+	228	0
YAL067C	chrI	7235	9016	-	1782	103
YAL066W	chrI	10091	10399	+	309	2
YAL065C	chrI	11565	11951	-	387	5
YAL064W-B	chrI	12046	12426	+	381	13
YAL064C-A	chrI	13363	13743	-	381	46
YAL064W	chrI	21566	21850	+	285	17
YAL063C-A	chrI	22395	22685	-	291	20
YAL063C	chrI	24000	27968	-	3969	249
YAL062W	chrI	31567	32940	+	1374	790
YAL061W	chrI	33448	34701	+	1254	787
YAL060W	chrI	35155	36303	+	1149	2046
YAL059C-A	chrI	36496	36918	-	423	118
YAL059W	chrI	36509	37147	+	639	205
YAL058W	chrI	37464	38972	+	1509	426
YAL056C-A	chrI	38696	39046	-	351	137
YAL056W	chrI	39259	41901	+	2643	1922
YAL055W	chrI	42177	42719	+	543	673
YAL054C	chrI	42881	45022	-	2142	788
YAL053W	chrI	45899	48250	+	2352	6888
YAL051W	chrI	48564	51707	+	3144	750
YAL049C	chrI	51855	52595	-	741	1190
YAL048C	chrI	52801	54789	-	1989	214
YAL047W-A	chrI	54584	54913	+	330	25
YAL047C	chrI	54989	56857	-	1869	302
YAL046C	chrI	57029	57385	-	357	400
YAL045C	chrI	57488	57796	-	309	515
YAL044W-A	chrI	57518	57850	+	333	600
YAL044C	chrI	57950	58462	-	513	887
YAL043C	chrI	58695	61052	-	2358	1278
YAL042C-A	chrI	61231	61608	-	378	1662
YAL042W	chrI	61316	62563	+	1248	6796
YAL041W	chrI	62840	65404	+	2565	972
YAL040C	chrI	65778	67520	-	1743	991
YAL039C	chrI	68716	69525	-	810	2808
YAL038W	chrI	71786	73288	+	1503	69741
YAL037C-B	chrI	72326	73300	-	975	54662
YAL037C-A	chrI	73426	73518	-	93	67
YAL037W	chrI	74020	74823	+	804	109
YAL036C	chrI	75043	76152	-	1110	463
YAL035W	chrI	76427	79435	+	3009	4695
YAL034C-B	chrI	79489	79842	-	354	101
YAL034W-A	chrI	79718	80587	+	870	252
YAL034C	chrI	80710	81951	-	1242	814
YAL033W	chrI	82706	83227	+	522	389
YAL032C	chrI	83335	84474	-	1140	935
YAL031W-A	chrI	84669	84977	+	309	312
YAL031C	chrI	84749	87031	-	2283	1165
YAL030W	chrI	87286	87387	+	102	316
YAL030W	chrI	87501	87752	+	252	971
YAL029C	chrI	87855	92270	-	4416	1629
YAL028W	chrI	92900	94486	+	1587	765
YAL027W	chrI	94687	95472	+	786	406
YAL026C-A	chrI	95386	95823	-	438	467
YAL026C	chrI	95630	99697	-	4068	1606
YAL025C	chrI	100225	101145	-	921	438
YAL024C	chrI	101565	105872	-	4308	385
YAL023C	chrI	106272	108551	-	2280	4849
YAL022C	chrI	108877	110430	-	1554	1535
YAL021C	chrI	110846	113359	-	2514	1453
YAL020C	chrI	113614	114615	-	1002	1145
YAL019W-A	chrI	114250	114819	+	570	540
YAL019W	chrI	114919	118314	+	3396	591
YAL018C	chrI	118564	119541	-	978	4
YAL017W	chrI	120225	124295	+	4071	1711
YAL016C-B	chrI	124307	124492	-	186	138
YAL016C-A	chrI	124755	125069	-	315	278
YAL016W	chrI	124879	126786	+	1908	2716
YAL015C	chrI	126903	128102	-	1200	895
YAL014C	chrI	128252	129019	-	768	1673
YAL013W	chrI	129270	130487	+	1218	1825
YAL011W	chrI	132199	134076	+	1878	680
YAL010C	chrI	134184	135665	-	1482	511
YAL009W	chrI	135854	136633	+	780	549
YAL008W	chrI	136914	137510	+	597	694
YAL007C	chrI	137698	138345	-	648	1531
YAL005C	chrI	139503	141431	-	1929	4949
YAL004W	chrI	140760	141407	+	648	596
YAL003W	chrI	142174	142253	+	80	662
YAL003W	chrI	142620	143160	+	541	6975
YAL002W	chrI	143707	147531	+	3825	722
YAL001C	chrI	147594	151006	-	3413	844
YAL001C	chrI	151097	151166	-	70	4
YAR002W	chrI	152257	153876	+	1620	943
YAR002C-A	chrI	154065	154724	-	660	2346
YAR003W	chrI	155005	156285	+	1281	787
YAR007C	chrI	156754	158619	-	1866	1333
YAR008W	chrI	158966	159793	+	828	448
YAR009C	chrI	160597	164187	-	3591	6
YAR010C	chrI	164544	165866	-	1323	0
YAR014C	chrI	166742	168871	-	2130	1208
YAR015W	chrI	169375	170295	+	921	1380
YAR018C	chrI	170396	171703	-	1308	550
YAR019C	chrI	172211	175135	-	2925	526
YAR019W-A	chrI	174998	175330	+	333	24
YAR020C	chrI	176856	177023	-	168	60
YAR023C	chrI	179281	179820	-	540	139
YAR027W	chrI	183770	184477	+	708	1150
YAR028W	chrI	184892	185596	+	705	482
YAR029W	chrI	186321	186545	+	225	46
YAR030C	chrI	186512	186853	-	342	54
YAR031W	chrI	186836	187732	+	897	115
YAR033W	chrI	188107	188811	+	705	131
YAR035W	chrI	190193	192256	+	2064	592
YAR035C-A	chrI	192337	192417	-	81	12
YAR042W	chrI	192619	196185	+	3567	1695
YAR047C	chrI	201467	201787	-	321	10
YAR050W	chrI	203403	208016	+	4614	196
YAR053W	chrI	208367	208663	+	297	22
YAR060C	chrI	217157	217492	-	336	0
YAR064W	chrI	220198	220497	+	300	11
YAR066W	chrI	221049	221660	+	612	1
YAR068W	chrI	222406	222891	+	486	5
YAR069C	chrI	224011	224304	-	294	0
YAR070C	chrI	224563	224862	-	300	2
YAR071W	chrI	225460	226863	+	1404	33
YAR073W	chrI	227742	228953	+	1212	12
YAR075W	chrI	228844	229317	+	474	13
Q0010	chrM	3952	4338	+	387	0
Q0017	chrM	4254	4415	+	162	0
Q0032	chrM	11667	11957	+	291	0
Q0045	chrM	13818	13986	+	169	1
Q0045	chrM	16435	16470	+	36	0
Q0045	chrM	18954	18991	+	38	0
Q0045	chrM	20508	20984	+	477	1
Q0045	chrM	21995	22246	+	252	1
Q0045	chrM	23612	23746	+	135	0
Q0045	chrM	25318	25342	+	25	0
Q0045	chrM	26229	26701	+	473	0
Q0070	chrM	13818	13986	+	169	1
Q0070	chrM	16435	16470	+	36	0
Q0070	chrM	18954	18991	+	38	0
Q0070	chrM	20508	20984	+	477	1
Q0070	chrM	21995	23167	+	1173	1
Q0065	chrM	13818	13986	+	169	1
Q0065	chrM	16435	16470	+	36	0
Q0065	chrM	18954	18991	+	38	0
Q0065	chrM	20508	21935	+	1428	1
Q0060	chrM	13818	13986	+	169	1
Q0060	chrM	16435	16470	+	36	0
Q0060	chrM	18954	19996	+	1043	0
Q0055	chrM	13818	13986	+	169	1
Q0055	chrM	16435	18830	+	2396	3
Q0050	chrM	13818	16322	+	2505	6
Q0075	chrM	24156	24870	+	715	0
Q0075	chrM	24906	25255	+	350	0
Q0080	chrM	27666	27812	+	147	0
Q0085	chrM	28487	29266	+	780	1
Q0092	chrM	30874	31014	+	141	0
Q0105	chrM	36540	36954	+	415	0
Q0105	chrM	37723	37736	+	14	0
Q0105	chrM	39141	39217	+	77	0
Q0105	chrM	40841	41090	+	250	1
